annotation_case_id,annotator_id,annotated_first_degradation_step,annotated_pattern_label,onset_confidence,pattern_confidence,boundary_flag,unverifiable_flag,ambiguous_flag,used_schema_flag,free_text_rationale,annotation_timestamp
annot_001,B,uncertain,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_001: Reviewed schema and checkpoint outputs.,2025-02-07T09:00:00
annot_002,B,uncertain,local_verification_collapse,5,5,False,True,False,True,Rationale for annot_002: Reviewed schema and checkpoint outputs.,2025-02-07T09:25:00
annot_003,B,t0,boundary_case,5,5,True,False,False,True,Rationale for annot_003: Reviewed schema and checkpoint outputs.,2025-02-07T09:48:00
annot_004,B,t1,boundary_case,5,5,False,False,False,True,Rationale for annot_004: Reviewed schema and checkpoint outputs.,2025-02-07T10:05:00
annot_005,B,t1,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_005: Reviewed schema and checkpoint outputs.,2025-02-07T10:28:00
annot_006,B,t0,dependency_mediated_propagation,5,5,False,True,False,True,Rationale for annot_006: Reviewed schema and checkpoint outputs.,2025-02-07T10:47:00
annot_007,B,t0,local_verification_collapse,2,3,True,False,False,False,Rationale for annot_007: Reviewed schema and checkpoint outputs.,2025-02-07T11:08:00
annot_008,B,none,local_verification_collapse,5,3,False,False,True,True,Rationale for annot_008: Reviewed schema and checkpoint outputs.,2025-02-07T11:28:00
annot_009,B,t1,local_verification_collapse,3,3,True,False,False,True,Rationale for annot_009: Reviewed schema and checkpoint outputs.,2025-02-07T11:44:00
annot_010,B,uncertain,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_010: Reviewed schema and checkpoint outputs.,2025-02-07T12:00:00
annot_011,B,uncertain,boundary_case,5,5,True,True,True,True,Rationale for annot_011: Reviewed schema and checkpoint outputs.,2025-02-07T12:21:00
annot_012,B,t0,unverifiable_or_excluded,2,5,False,True,False,True,Rationale for annot_012: Reviewed schema and checkpoint outputs.,2025-02-07T12:43:00
annot_013,B,t0,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_013: Reviewed schema and checkpoint outputs.,2025-02-07T13:06:00
annot_014,B,t1,unverifiable_or_excluded,2,5,False,False,False,True,Rationale for annot_014: Reviewed schema and checkpoint outputs.,2025-02-07T13:29:00
annot_015,B,t2,dependency_mediated_propagation,5,3,False,False,False,False,Rationale for annot_015: Reviewed schema and checkpoint outputs.,2025-02-07T13:48:00
annot_016,B,t1,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_016: Reviewed schema and checkpoint outputs.,2025-02-07T14:09:00
annot_017,B,uncertain,unverifiable_or_excluded,5,2,False,False,False,True,Rationale for annot_017: Reviewed schema and checkpoint outputs.,2025-02-07T14:27:00
annot_018,B,uncertain,local_verification_collapse,5,5,True,False,False,True,Rationale for annot_018: Reviewed schema and checkpoint outputs.,2025-02-07T14:42:00
annot_019,B,t0,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_019: Reviewed schema and checkpoint outputs.,2025-02-07T15:09:00
annot_020,B,t1,dependency_mediated_propagation,2,5,False,False,False,True,Rationale for annot_020: Reviewed schema and checkpoint outputs.,2025-02-07T15:26:00
annot_021,B,t0,local_verification_collapse,3,5,False,False,False,True,Rationale for annot_021: Reviewed schema and checkpoint outputs.,2025-02-07T15:47:00
annot_022,B,t2,dependency_mediated_propagation,3,3,False,False,False,True,Rationale for annot_022: Reviewed schema and checkpoint outputs.,2025-02-07T16:02:00
annot_023,B,t0,boundary_case,5,5,False,False,False,True,Rationale for annot_023: Reviewed schema and checkpoint outputs.,2025-02-07T16:23:00
annot_024,B,t0,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_024: Reviewed schema and checkpoint outputs.,2025-02-07T16:42:00
annot_025,B,none,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_025: Reviewed schema and checkpoint outputs.,2025-02-07T17:02:00
annot_026,B,t1,unverifiable_or_excluded,2,3,False,False,False,False,Rationale for annot_026: Reviewed schema and checkpoint outputs.,2025-02-07T17:22:00
annot_027,B,none,unverifiable_or_excluded,5,5,False,True,False,True,Rationale for annot_027: Reviewed schema and checkpoint outputs.,2025-02-07T17:49:00
annot_028,B,t0,dependency_mediated_propagation,5,2,False,False,False,True,Rationale for annot_028: Reviewed schema and checkpoint outputs.,2025-02-07T18:06:00
annot_029,B,t1,boundary_case,5,5,False,False,False,True,Rationale for annot_029: Reviewed schema and checkpoint outputs.,2025-02-07T18:20:00
annot_030,B,t1,burst_associated_degradation,5,5,True,False,False,True,Rationale for annot_030: Reviewed schema and checkpoint outputs.,2025-02-07T18:41:00
annot_031,B,t1,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_031: Reviewed schema and checkpoint outputs.,2025-02-07T19:02:00
annot_032,B,t0,local_verification_collapse,5,5,False,False,False,False,Rationale for annot_032: Reviewed schema and checkpoint outputs.,2025-02-07T19:21:00
annot_033,B,t2,boundary_case,5,5,False,False,False,True,Rationale for annot_033: Reviewed schema and checkpoint outputs.,2025-02-07T19:43:00
annot_034,B,t0,burst_associated_degradation,2,5,False,False,False,True,Rationale for annot_034: Reviewed schema and checkpoint outputs.,2025-02-07T20:01:00
annot_035,B,t2,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_035: Reviewed schema and checkpoint outputs.,2025-02-07T20:27:00
annot_036,B,t0,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_036: Reviewed schema and checkpoint outputs.,2025-02-07T20:40:00
annot_037,B,t0,local_verification_collapse,5,2,False,False,False,True,Rationale for annot_037: Reviewed schema and checkpoint outputs.,2025-02-07T21:05:00
annot_038,B,t0,burst_associated_degradation,5,2,False,False,False,True,Rationale for annot_038: Reviewed schema and checkpoint outputs.,2025-02-07T21:21:00
annot_039,B,none,boundary_case,5,2,False,False,False,True,Rationale for annot_039: Reviewed schema and checkpoint outputs.,2025-02-07T21:42:00
annot_040,B,t2,boundary_case,5,2,False,True,False,True,Rationale for annot_040: Reviewed schema and checkpoint outputs.,2025-02-07T22:01:00
annot_041,B,uncertain,unverifiable_or_excluded,2,5,False,False,False,True,Rationale for annot_041: Reviewed schema and checkpoint outputs.,2025-02-07T22:23:00
annot_042,B,t2,unverifiable_or_excluded,3,5,False,False,False,True,Rationale for annot_042: Reviewed schema and checkpoint outputs.,2025-02-07T22:45:00
annot_043,B,t1,dependency_mediated_propagation,3,3,False,False,False,True,Rationale for annot_043: Reviewed schema and checkpoint outputs.,2025-02-07T23:08:00
annot_044,B,none,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_044: Reviewed schema and checkpoint outputs.,2025-02-07T23:23:00
annot_045,B,t1,dependency_mediated_propagation,2,5,False,True,False,True,Rationale for annot_045: Reviewed schema and checkpoint outputs.,2025-02-07T23:47:00
annot_046,B,t2,unverifiable_or_excluded,5,5,True,False,False,True,Rationale for annot_046: Reviewed schema and checkpoint outputs.,2025-02-08T00:09:00
annot_047,B,t1,burst_associated_degradation,2,5,False,False,False,True,Rationale for annot_047: Reviewed schema and checkpoint outputs.,2025-02-08T00:28:00
annot_048,B,t0,local_verification_collapse,5,5,False,False,False,False,Rationale for annot_048: Reviewed schema and checkpoint outputs.,2025-02-08T00:43:00
annot_049,B,t1,burst_associated_degradation,3,2,True,False,False,True,Rationale for annot_049: Reviewed schema and checkpoint outputs.,2025-02-08T01:03:00
annot_050,B,t1,unverifiable_or_excluded,5,5,False,False,True,True,Rationale for annot_050: Reviewed schema and checkpoint outputs.,2025-02-08T01:20:00
annot_051,B,t0,boundary_case,5,5,False,False,False,True,Rationale for annot_051: Reviewed schema and checkpoint outputs.,2025-02-08T01:41:00
annot_052,B,none,dependency_mediated_propagation,5,5,False,True,False,True,Rationale for annot_052: Reviewed schema and checkpoint outputs.,2025-02-08T02:03:00
annot_053,B,t1,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_053: Reviewed schema and checkpoint outputs.,2025-02-08T02:25:00
annot_054,B,t2,unverifiable_or_excluded,5,2,True,False,False,True,Rationale for annot_054: Reviewed schema and checkpoint outputs.,2025-02-08T02:44:00
annot_055,B,t1,burst_associated_degradation,5,2,False,False,False,True,Rationale for annot_055: Reviewed schema and checkpoint outputs.,2025-02-08T03:03:00
annot_056,B,uncertain,local_verification_collapse,5,5,False,False,False,False,Rationale for annot_056: Reviewed schema and checkpoint outputs.,2025-02-08T03:22:00
annot_057,B,t2,local_verification_collapse,5,5,True,False,False,True,Rationale for annot_057: Reviewed schema and checkpoint outputs.,2025-02-08T03:40:00
annot_058,B,t1,dependency_mediated_propagation,5,2,False,False,False,False,Rationale for annot_058: Reviewed schema and checkpoint outputs.,2025-02-08T04:00:00
annot_059,B,t2,dependency_mediated_propagation,3,5,False,False,False,False,Rationale for annot_059: Reviewed schema and checkpoint outputs.,2025-02-08T04:20:00
annot_060,B,t0,boundary_case,5,5,False,False,False,True,Rationale for annot_060: Reviewed schema and checkpoint outputs.,2025-02-08T04:49:00
annot_061,B,t0,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_061: Reviewed schema and checkpoint outputs.,2025-02-08T05:07:00
annot_062,B,uncertain,boundary_case,3,2,False,False,False,False,Rationale for annot_062: Reviewed schema and checkpoint outputs.,2025-02-08T05:28:00
annot_063,B,t0,local_verification_collapse,3,5,True,False,True,True,Rationale for annot_063: Reviewed schema and checkpoint outputs.,2025-02-08T05:45:00
annot_064,B,t2,boundary_case,5,3,False,True,False,True,Rationale for annot_064: Reviewed schema and checkpoint outputs.,2025-02-08T06:09:00
annot_065,B,t0,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_065: Reviewed schema and checkpoint outputs.,2025-02-08T06:29:00
annot_066,B,t0,burst_associated_degradation,5,3,False,False,False,True,Rationale for annot_066: Reviewed schema and checkpoint outputs.,2025-02-08T06:42:00
annot_067,B,t1,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_067: Reviewed schema and checkpoint outputs.,2025-02-08T07:08:00
annot_068,B,t1,unverifiable_or_excluded,3,3,True,False,False,False,Rationale for annot_068: Reviewed schema and checkpoint outputs.,2025-02-08T07:28:00
annot_069,B,t1,local_verification_collapse,5,5,False,False,False,False,Rationale for annot_069: Reviewed schema and checkpoint outputs.,2025-02-08T07:41:00
annot_070,B,t1,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_070: Reviewed schema and checkpoint outputs.,2025-02-08T08:02:00
annot_071,B,t0,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_071: Reviewed schema and checkpoint outputs.,2025-02-08T08:24:00
annot_072,B,t2,boundary_case,3,3,False,True,False,False,Rationale for annot_072: Reviewed schema and checkpoint outputs.,2025-02-08T08:49:00
annot_073,B,t0,boundary_case,2,5,True,False,False,False,Rationale for annot_073: Reviewed schema and checkpoint outputs.,2025-02-08T09:00:00
annot_074,B,t0,boundary_case,5,5,False,True,False,True,Rationale for annot_074: Reviewed schema and checkpoint outputs.,2025-02-08T09:21:00
annot_075,B,t2,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_075: Reviewed schema and checkpoint outputs.,2025-02-08T09:42:00
annot_076,B,t2,dependency_mediated_propagation,2,5,False,False,False,True,Rationale for annot_076: Reviewed schema and checkpoint outputs.,2025-02-08T10:00:00
annot_077,B,t1,burst_associated_degradation,2,5,False,False,False,True,Rationale for annot_077: Reviewed schema and checkpoint outputs.,2025-02-08T10:25:00
annot_078,B,t0,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_078: Reviewed schema and checkpoint outputs.,2025-02-08T10:42:00
annot_079,B,t1,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_079: Reviewed schema and checkpoint outputs.,2025-02-08T11:05:00
annot_080,B,t0,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_080: Reviewed schema and checkpoint outputs.,2025-02-08T11:25:00
annot_081,B,t0,boundary_case,3,2,False,False,False,True,Rationale for annot_081: Reviewed schema and checkpoint outputs.,2025-02-08T11:41:00
annot_082,B,t0,local_verification_collapse,5,5,False,True,False,True,Rationale for annot_082: Reviewed schema and checkpoint outputs.,2025-02-08T12:08:00
annot_083,B,t2,dependency_mediated_propagation,2,5,False,False,False,True,Rationale for annot_083: Reviewed schema and checkpoint outputs.,2025-02-08T12:28:00
annot_084,B,t0,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_084: Reviewed schema and checkpoint outputs.,2025-02-08T12:48:00
annot_085,B,t1,local_verification_collapse,5,2,False,False,False,True,Rationale for annot_085: Reviewed schema and checkpoint outputs.,2025-02-08T13:08:00
annot_086,B,t1,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_086: Reviewed schema and checkpoint outputs.,2025-02-08T13:29:00
annot_087,B,t2,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_087: Reviewed schema and checkpoint outputs.,2025-02-08T13:42:00
annot_088,B,t1,local_verification_collapse,3,5,False,False,False,True,Rationale for annot_088: Reviewed schema and checkpoint outputs.,2025-02-08T14:06:00
annot_089,B,t2,burst_associated_degradation,5,5,False,False,False,True,Rationale for annot_089: Reviewed schema and checkpoint outputs.,2025-02-08T14:29:00
annot_090,B,t2,local_verification_collapse,5,5,False,True,False,True,Rationale for annot_090: Reviewed schema and checkpoint outputs.,2025-02-08T14:46:00
annot_091,B,t0,local_verification_collapse,5,2,False,False,False,True,Rationale for annot_091: Reviewed schema and checkpoint outputs.,2025-02-08T15:08:00
annot_092,B,t1,unverifiable_or_excluded,5,2,False,False,False,False,Rationale for annot_092: Reviewed schema and checkpoint outputs.,2025-02-08T15:28:00
annot_093,B,t0,burst_associated_degradation,5,5,False,False,False,False,Rationale for annot_093: Reviewed schema and checkpoint outputs.,2025-02-08T15:48:00
annot_094,B,t1,local_verification_collapse,5,3,False,False,False,True,Rationale for annot_094: Reviewed schema and checkpoint outputs.,2025-02-08T16:08:00
annot_095,B,t2,dependency_mediated_propagation,5,5,False,True,False,True,Rationale for annot_095: Reviewed schema and checkpoint outputs.,2025-02-08T16:21:00
annot_096,B,t0,boundary_case,5,5,True,False,False,True,Rationale for annot_096: Reviewed schema and checkpoint outputs.,2025-02-08T16:44:00
annot_097,B,t0,boundary_case,5,5,False,False,False,True,Rationale for annot_097: Reviewed schema and checkpoint outputs.,2025-02-08T17:07:00
annot_098,B,t2,local_verification_collapse,5,5,False,False,False,False,Rationale for annot_098: Reviewed schema and checkpoint outputs.,2025-02-08T17:26:00
annot_099,B,t1,dependency_mediated_propagation,5,5,True,False,False,True,Rationale for annot_099: Reviewed schema and checkpoint outputs.,2025-02-08T17:49:00
annot_100,B,uncertain,local_verification_collapse,5,2,False,True,False,True,Rationale for annot_100: Reviewed schema and checkpoint outputs.,2025-02-08T18:02:00
